area,bike_score,city,housing_cost,lat,lon,max_temp,min_temp,pop,pop_density,precipitation,rpp,state,transit_score,walk_score,wiki_url
146.1sqmi,28.6,Birmingham,419300.0,33.5274,-86.7990,73.9,52.7,"212,157","1,452/sqmi",53.72,89.2,Alabama,25.3,35.4,"https://wikipedia.org/wiki/Birmingham,_Alabama"
49.7sqmi,53.2,Tacoma,243500.0,47.2522,-122.4598,59.4,44.8,"211,277","4,251/sqmi",43.02,109.4,Washington,30.3,50.0,"https://wikipedia.org/wiki/Tacoma,_Washington"
43.0sqmi,57.1,Fontana,350100.0,34.1090,-117.4629,72.0,55.9,"209,665","4,876/sqmi",13.33,85.8,California,46,66.1,"https://wikipedia.org/wiki/Fontana,_California"
35.8sqmi,58.9,Rochester,201200.0,43.1699,-77.6169,57.2,39.3,"208,880","5,835/sqmi",34.27,97.6,New York,42.8,64.6,"https://wikipedia.org/wiki/Rochester,_New_York"
26.9sqmi,--,Oxnard,456900.0,34.2023,-119.2046,68.5,50.3,"207,906","7,729/sqmi",12.79,95.6,California,--,41.3,"https://wikipedia.org/wiki/Oxnard,_California"
51.3sqmi,--,Moreno Valley,285600.0,33.9233,-117.2057,76.7,53.4,"205,499","4,006/sqmi",22.97,91.3,California,--,26.9,"https://wikipedia.org/wiki/Moreno_Valley,_California"
147.7sqmi,--,Fayetteville,208300.0,35.0828,-78.9735,74.0,52.0,"204,759","1,386/sqmi",44.46,90.7,North Carolina,--,20.9,"https://wikipedia.org/wiki/Fayetteville,_North_Carolina"
44.9sqmi,60.8,Aurora,280900.0,41.7635,-88.2901,60.1,39.8,"201,110","4,479/sqmi",36.91,89.7,Illinois,35,42.6,"https://wikipedia.org/wiki/Aurora,_Illinois"
30.4sqmi,51.4,Glendale,198500.0,34.1814,-118.2458,72.8,49.9,"200,831","6,606/sqmi",55.37,99.7,California,29.2,39.9,"https://wikipedia.org/wiki/Glendale,_California"
18.0sqmi,51.6,Yonkers,433200.0,40.9459,-73.8674,61.6,47.3,"200,807","11,156/sqmi",42.77,91.3,New York,22.1,29.6,"https://wikipedia.org/wiki/Yonkers,_New_York"
26.9sqmi,66.4,Huntington Beach,717100.0,33.6906,-118.0093,66.1,45.4,"200,652","7,459/sqmi",42.59,89.9,California,--,69.9,"https://wikipedia.org/wiki/Huntington_Beach,_California"
159.8sqmi,--,Montgomery,253600.0,32.3472,-86.2661,76.5,53.7,"200,022","1,252/sqmi",53.07,89.3,Alabama,--,26.9,"https://wikipedia.org/wiki/Montgomery,_Alabama"
101.4sqmi,36.1,Amarillo,559800.0,35.1999,-101.8302,71.0,43.8,"199,582","1,968/sqmi",20.36,93.0,Texas,--,25.9,"https://wikipedia.org/wiki/Amarillo,_Texas"
118.7sqmi,63,Little Rock,172300.0,34.7254,-92.3586,72.9,52.5,"198,541","1,673/sqmi",49.75,90.9,Arkansas,57,73.1,"https://wikipedia.org/wiki/Little_Rock,_Arkansas"
62.0sqmi,42.9,Akron,223600.0,41.0805,-81.5214,58.9,40.9,"197,633","3,188/sqmi",39.62,89.7,Ohio,--,37.4,"https://wikipedia.org/wiki/Akron,_Ohio"
216.4sqmi,46.5,Columbus,168800.0,32.5102,-84.8749,62.6,44.3,"197,485",913/sqmi,39.31,93.1,Georgia,31,40.7,"https://wikipedia.org/wiki/Columbus,_Georgia"
302.5sqmi,51.7,Augusta,148700.0,33.3655,-82.0734,54.7,36.8,"197,081",652/sqmi,41.88,88.7,Georgia,33.5,40.3,"https://wikipedia.org/wiki/Augusta,_Georgia"
44.4sqmi,39.1,Grand Rapids,136900.0,42.9612,-85.6556,58.0,40.3,"196,445","4,424/sqmi",38.27,93.7,Michigan,28.8,39.4,"https://wikipedia.org/wiki/Grand_Rapids,_Michigan"
107.1sqmi,39.6,Shreveport,292000.0,32.4669,-93.7922,75.9,55.1,"194,920","1,820/sqmi",50.95,90.4,Louisiana,--,29.1,"https://wikipedia.org/wiki/Shreveport,_Louisiana"
111.2sqmi,40.3,Salt Lake City,289000.0,40.7769,-111.9310,63.9,41.7,"193,744","1,742/sqmi",16.1,100.0,Utah,28.7,34.2,https://wikipedia.org/wiki/Salt_Lake_City
213.4sqmi,39.5,Huntsville,243900.0,34.6990,-86.6730,78.7,58.0,"193,079",905/sqmi,46.14,89.9,Alabama,--,26.8,"https://wikipedia.org/wiki/Huntsville,_Alabama"
139.4sqmi,--,Mobile,517300.0,30.6684,-88.1002,77.5,57.0,"192,904","1,384/sqmi",66.15,88.0,Alabama,49.1,62.1,"https://wikipedia.org/wiki/Mobile,_Alabama"
100.4sqmi,43.7,Tallahassee,150400.0,30.4551,-84.2534,79.6,55.8,"190,894","1,901/sqmi",59.23,93.3,Florida,39.5,46.2,"https://wikipedia.org/wiki/Tallahassee,_Florida"
72.3sqmi,39.1,Grand Prairie,205000.0,32.6869,-97.0211,58.0,40.3,"190,682","2,637/sqmi",38.27,80.2,Texas,28.8,39.4,"https://wikipedia.org/wiki/Grand_Prairie,_Texas"
75.1sqmi,53,Overland Park,225900.0,38.8890,-94.6906,82.4,64.2,"188,966","2,516/sqmi",53.17,88.7,Kansas,32.5,42.1,"https://wikipedia.org/wiki/Overland_Park,_Kansas"
98.5sqmi,39.5,Knoxville,218500.0,35.9707,-83.9493,69.6,48.8,"186,239","1,891/sqmi",47.86,89.3,Tennessee,--,26.8,"https://wikipedia.org/wiki/Knoxville,_Tennessee"
118.9sqmi,56.9,Port St. Lucie,96000.0,27.2806,-80.3883,82.4,63.7,"185,132","1,557/sqmi",53.84,95.8,Florida,45.2,64.5,"https://wikipedia.org/wiki/Port_St._Lucie,_Florida"
37.4sqmi,58.9,Worcester,201200.0,42.2695,-71.8078,56.1,39.6,"184,508","4,933/sqmi",48.07,103.5,Massachusetts,42.8,64.6,"https://wikipedia.org/wiki/Worcester,_Massachusetts"
132.5sqmi,39.5,Brownsville,284400.0,25.9991,-97.4550,83.6,65.4,"183,823","1,387/sqmi",27.44,84.0,Texas,--,26.8,"https://wikipedia.org/wiki/Brownsville,_Texas"
40.0sqmi,53.2,Tempe,255500.0,33.3884,-111.9318,61.6,47.3,"182,498","4,562/sqmi",42.77,92.1,Arizona,30.3,50.0,"https://wikipedia.org/wiki/Tempe,_Arizona"
52.8sqmi,57.1,Santa Clarita,483300.0,34.4030,-118.5042,77.0,53.3,"181,972","3,446/sqmi",13.02,118.5,California,46,66.1,"https://wikipedia.org/wiki/Santa_Clarita,_California"
69.1sqmi,60.1,Newport News,160500.0,37.0762,-76.5220,70.7,50.6,"181,825","2,631/sqmi",45.44,86.7,Virginia,--,57.6,"https://wikipedia.org/wiki/Newport_News,_Virginia"
105.6sqmi,--,Cape Coral,198800.0,26.6432,-81.9974,84.7,65.5,"179,804","1,703/sqmi",55.93,95.4,Florida,13,22.1,"https://wikipedia.org/wiki/Cape_Coral,_Florida"
18.4sqmi,69.7,Providence,245400.0,41.8231,-71.4188,60.7,42.6,"179,219","9,740/sqmi",47.18,99.1,Rhode Island,27.4,43.5,"https://wikipedia.org/wiki/Providence,_Rhode_Island"
34.6sqmi,42.6,Fort Lauderdale,286500.0,26.1412,-80.1467,84.5,68.5,"178,752","5,166/sqmi",63.92,90.1,Florida,21.7,29.5,"https://wikipedia.org/wiki/Fort_Lauderdale,_Florida"
143.1sqmi,36.1,Chattanooga,153100.0,35.0660,-85.2484,71.7,50.1,"177,571","1,241/sqmi",52.48,89.9,Tennessee,--,25.9,"https://wikipedia.org/wiki/Chattanooga,_Tennessee"
40.0sqmi,--,Rancho Cucamonga,440000.0,34.1233,-117.5642,77.1,47.1,"176,534","4,413/sqmi",7.38,91.3,California,--,51.4,"https://wikipedia.org/wiki/Rancho_Cucamonga,_California"
41.3sqmi,49.9,Oceanside,469100.0,33.2245,-117.3062,70.4,50.8,"175,464","4,249/sqmi",13.66,90.2,California,31.2,41.3,"https://wikipedia.org/wiki/Oceanside,_California"
41.3sqmi,57.1,Santa Rosa,451200.0,38.4468,-122.7061,71.1,44.2,"175,155","4,241/sqmi",36.28,118.5,California,46,66.1,"https://wikipedia.org/wiki/Santa_Rosa,_California"
18.0sqmi,56.9,Garden Grove,523300.0,33.7788,-117.9605,67.9,40.7,"174,858","9,714/sqmi",19.47,84.5,California,41,50.5,"https://wikipedia.org/wiki/Garden_Grove,_California"
46.9sqmi,71.3,Vancouver,267300.0,45.6349,-122.5957,63.4,44.9,"174,826","3,728/sqmi",39.14,101.8,Washington,46.9,60.5,"https://wikipedia.org/wiki/Vancouver,_Washington"
75.4sqmi,43.7,Sioux Falls,276900.0,43.5383,-96.7320,56.6,34.9,"174,360","2,312/sqmi",26.38,92.4,South Dakota,39.5,46.2,"https://wikipedia.org/wiki/Sioux_Falls,_South_Dakota"
49.9sqmi,39.3,Ontario,390700.0,34.0394,-117.6042,64.7,37.1,"173,212","3,471/sqmi",10.06,87.8,California,37.6,42.0,"https://wikipedia.org/wiki/Ontario,_California"
63.0sqmi,81.3,McKinney,280800.0,33.1985,-96.6680,69.4,46.9,"172,298","2,735/sqmi",50.95,103.6,Texas,57.5,69.2,"https://wikipedia.org/wiki/McKinney,_Texas"
42.2sqmi,--,Elk Grove,378200.0,38.4146,-121.3850,62.2,31.2,"169,743","4,022/sqmi",9.91,90.9,California,--,41.5,"https://wikipedia.org/wiki/Elk_Grove,_California"
111.0sqmi,39.5,Jackson,336400.0,32.3158,-90.2128,71.1,48.6,"169,148","1,524/sqmi",53.27,82.1,Mississippi,--,26.8,"https://wikipedia.org/wiki/Jackson,_Mississippi"
33.0sqmi,44.9,Pembroke Pines,254300.0,26.0210,-80.3404,64.4,47.5,"168,587","5,109/sqmi",42.37,92.1,Florida,--,45.0,"https://wikipedia.org/wiki/Pembroke_Pines,_Florida"
48.6sqmi,63,Salem,317900.0,44.9237,-123.0232,63.6,42.5,"167,419","3,445/sqmi",39.67,95.5,Oregon,57,73.1,"https://wikipedia.org/wiki/Salem,_Oregon"
82.3sqmi,48.1,Springfield,131600.0,37.1942,-93.2913,67.1,45.5,"167,319","2,033/sqmi",45.57,87.8,Missouri,29.6,37.4,"https://wikipedia.org/wiki/Springfield,_Missouri"
39.5sqmi,70.3,Corona,425500.0,33.8620,-117.5655,77.0,55.9,"166,785","4,222/sqmi",40.17,99.7,California,74.4,80.9,"https://wikipedia.org/wiki/Corona,_California"
44.1sqmi,71.3,Eugene,164100.0,44.0567,-123.1162,63.4,41.6,"166,575","3,777/sqmi",46.1,98.5,Oregon,46.9,60.5,"https://wikipedia.org/wiki/Eugene,_Oregon"
55.8sqmi,40.2,Fort Collins,251300.0,40.5482,-105.0648,64.1,35.7,"164,207","2,943/sqmi",16.53,102.2,Colorado,20.1,34.4,"https://wikipedia.org/wiki/Fort_Collins,_Colorado"
175.7sqmi,72,Peoria,255700.0,33.7862,-112.3080,61.5,42.2,"164,173",934/sqmi,36.49,92.1,Arizona,50.8,64.7,"https://wikipedia.org/wiki/Peoria,_Arizona"
67.7sqmi,55.9,Frisco,351600.0,33.1554,-96.8226,67.0,50.7,"163,656","2,417/sqmi",18.04,90.2,Texas,30.3,46.3,"https://wikipedia.org/wiki/Frisco,_Texas"
56.5sqmi,--,Cary,312500.0,35.7809,-78.8133,64.6,34.3,"162,320","2,873/sqmi",11.31,95.3,North Carolina,18.1,34.6,"https://wikipedia.org/wiki/Cary,_North_Carolina"
94.3sqmi,58.9,Lancaster,240600.0,34.6936,-118.1753,62.0,42.4,"160,106","1,698/sqmi",42.01,98.7,California,42.8,64.6,"https://wikipedia.org/wiki/Lancaster,_California"
45.5sqmi,51.1,Hayward,542900.0,37.6287,-122.1024,46.0,35.1,"158,937","3,493/sqmi",73.32,121.9,California,64.9,80.4,"https://wikipedia.org/wiki/Hayward,_California"
106.0sqmi,51.4,Palmdale,265500.0,34.5910,-118.1054,78.3,60.5,"157,356","1,484/sqmi",52.71,89.3,California,29.2,39.9,"https://wikipedia.org/wiki/Palmdale,_California"
23.6sqmi,43.7,Salinas,234200.0,36.6902,-121.6337,64.1,48.4,"157,218","6,662/sqmi",16.12,108.5,California,39.5,46.2,"https://wikipedia.org/wiki/Salinas,_California"
15.0sqmi,49.9,Alexandria,467900.0,38.8201,-77.0841,66.8,49.6,"155,810","10,387/sqmi",39.74,88.3,Virginia,44.3,49.2,"https://wikipedia.org/wiki/Alexandria,_Virginia"
42.9sqmi,--,Lakewood,339300.0,39.6989,-105.1176,63.6,42.4,"154,393","3,599/sqmi",49.09,106.0,Colorado,--,41.3,"https://wikipedia.org/wiki/Lakewood,_Colorado"
31.9sqmi,48.1,Springfield,131600.0,42.1155,-72.5400,67.1,45.5,"154,074","4,830/sqmi",45.57,87.8,Massachusetts,29.6,37.4,"https://wikipedia.org/wiki/Springfield,_Massachusetts"
43.5sqmi,53.1,Pasadena,779000.0,29.6586,-95.1506,53.8,33.3,"153,351","3,525/sqmi",34.96,84.5,Texas,35.1,48.8,"https://wikipedia.org/wiki/Pasadena,_Texas"
22.0sqmi,63,Sunnyvale,1197400.0,37.3858,-122.0263,66.2,40.0,"152,771","6,944/sqmi",7.5,87.6,California,57,73.1,"https://wikipedia.org/wiki/Sunnyvale,_California"
249.3sqmi,72.6,Macon,255600.0,32.8088,-83.6942,76.5,52.6,"152,555",612/sqmi,45.68,91.5,Georgia,38.3,48.7,"https://wikipedia.org/wiki/Macon,_Georgia"
23.0sqmi,70.3,Pomona,386100.0,34.0585,-117.7611,57.0,39.7,"152,494","6,630/sqmi",30.91,94.6,California,74.4,80.9,"https://wikipedia.org/wiki/Pomona,_California"
27.3sqmi,44.7,Hollywood,228100.0,26.0310,-80.1646,58.5,41.5,"151,998","5,568/sqmi",36.46,89.2,Florida,--,45.9,"https://wikipedia.org/wiki/Hollywood,_Florida"
124.8sqmi,40.3,Kansas City,303800.0,39.1225,-94.7418,64.8,44.7,"151,709","1,216/sqmi",42.18,93.7,Kansas,28.7,34.2,"https://wikipedia.org/wiki/Kansas_City,_Kansas"
37.1sqmi,--,Escondido,469300.0,33.1331,-117.0740,70.3,47.9,"151,613","4,087/sqmi",32.91,100.4,California,--,51.4,"https://wikipedia.org/wiki/Escondido,_California"
98.3sqmi,39.5,Clarksville,167100.0,36.5664,-87.3452,69.0,46.8,"150,287","1,529/sqmi",50.18,91.0,Tennessee,--,26.8,"https://wikipedia.org/wiki/Clarksville,_Tennessee"
64.4sqmi,44.7,Joliet,138200.0,41.5177,-88.1488,59.6,41.0,"148,262","2,302/sqmi",40.07,88.1,Illinois,--,45.9,"https://wikipedia.org/wiki/Joliet,_Illinois"
63.5sqmi,53.9,Rockford,65800.0,42.2588,-89.0646,59.3,39.2,"147,651","2,325/sqmi",36.24,90.6,Illinois,28.2,41.8,"https://wikipedia.org/wiki/Rockford,_Illinois"
20.5sqmi,42.6,Torrance,714300.0,33.8350,-118.3414,74.6,52.8,"147,195","7,180/sqmi",42.91,94.0,California,21.7,29.5,"https://wikipedia.org/wiki/Torrance,_California"
38.7sqmi,--,Naperville,350500.0,41.7492,-88.1620,60.1,39.8,"147,122","3,802/sqmi",36.91,120.1,Illinois,--,20.9,"https://wikipedia.org/wiki/Naperville,_Illinois"
8.4sqmi,51.6,Paterson,153500.0,40.9148,-74.1628,53.6,32.5,"147,000","17,500/sqmi",22.08,87.8,New Jersey,22.1,29.6,"https://wikipedia.org/wiki/Paterson,_New_Jersey"
103.6sqmi,57.1,Savannah,190700.0,32.0025,-81.1536,77.4,56.1,"146,763","1,417/sqmi",47.96,93.6,Georgia,46,66.1,"https://wikipedia.org/wiki/Savannah,_Georgia"
16.1sqmi,57.5,Bridgeport,145100.0,41.1874,-73.1958,60.3,44.7,"145,936","9,064/sqmi",42.74,90.0,Connecticut,14.5,29.0,"https://wikipedia.org/wiki/Bridgeport,_Connecticut"
47.2sqmi,58.5,Mesquite,172800.0,32.7629,-96.5888,72.7,51.1,"143,736","3,045/sqmi",42.04,98.7,Texas,25.3,37.3,"https://wikipedia.org/wiki/Mesquite,_Texas"
53.5sqmi,--,Killeen,287600.0,31.0777,-97.7320,77.5,57.3,"143,400","2,680/sqmi",32.12,89.3,Texas,49.1,62.1,"https://wikipedia.org/wiki/Killeen,_Texas"
25.0sqmi,56.9,Syracuse,246300.0,43.0410,-76.1436,57.7,39.0,"143,378","5,735/sqmi",38.47,95.9,New York,41,50.5,"https://wikipedia.org/wiki/Syracuse,_New_York"
58.4sqmi,49.9,McAllen,287600.0,26.2322,-98.2464,85.9,65.3,"142,212","2,435/sqmi",22.2,85.1,Texas,44.3,49.2,"https://wikipedia.org/wiki/McAllen,_Texas"
23.0sqmi,53.1,Pasadena,779000.0,34.1606,-118.1396,53.8,33.3,"142,059","6,176/sqmi",34.96,84.5,California,35.1,48.8,"https://wikipedia.org/wiki/Pasadena,_California"
33.5sqmi,50.8,Bellevue,754400.0,47.5979,-122.1565,60.3,45.4,"141,400","4,221/sqmi",36.15,109.4,Washington,47.1,59.5,"https://wikipedia.org/wiki/Bellevue,_Washington"
22.4sqmi,49.3,Fullerton,565200.0,33.8857,-117.9280,61.4,40.9,"140,721","6,282/sqmi",45.35,110.1,California,36.8,48.7,"https://wikipedia.org/wiki/Fullerton,_California"
25.4sqmi,53,Orange,652800.0,33.7870,-117.8613,75.6,53.1,"140,504","5,532/sqmi",46.73,88.7,California,32.5,42.1,"https://wikipedia.org/wiki/Orange,_California"
55.7sqmi,70.3,Dayton,226600.0,39.7774,-84.1996,61.1,42.8,"140,489","2,522/sqmi",41.05,90.5,Ohio,74.4,80.9,"https://wikipedia.org/wiki/Dayton,_Ohio"
29.4sqmi,59.7,Miramar,243300.0,25.9770,-80.3358,81.4,71.1,"138,449","4,709/sqmi",51.73,88.6,Florida,59.4,79.2,"https://wikipedia.org/wiki/Miramar,_Florida"
35.7sqmi,42.9,Thornton,323300.0,39.9194,-104.9428,60.2,34.6,"136,703","3,829/sqmi",51.71,112.0,Colorado,--,37.4,"https://wikipedia.org/wiki/Thornton,_Colorado"
35.5sqmi,66.3,West Valley City,236900.0,40.6885,-112.0118,66.9,44.9,"136,574","3,847/sqmi",62.39,89.4,Utah,70,87.3,"https://wikipedia.org/wiki/West_Valley_City,_Utah"
60.9sqmi,40.8,Olathe,132700.0,38.8843,-94.8195,87.8,59.5,"135,473","2,225/sqmi",3.83,88.7,Kansas,--,45.1,"https://wikipedia.org/wiki/Olathe,_Kansas"
51.5sqmi,49.3,Hampton,142200.0,37.0480,-76.2971,70.7,50.6,"135,410","2,629/sqmi",45.44,120.1,Virginia,36.8,48.7,"https://wikipedia.org/wiki/Hampton,_Virginia"
34.4sqmi,68.9,Warren,404200.0,42.4929,-83.0250,65.8,43.1,"135,125","3,928/sqmi",42.94,91.5,Michigan,33.8,47.1,"https://wikipedia.org/wiki/Warren,_Michigan"
74.4sqmi,53,Midland,264400.0,32.0246,-102.1135,77.4,50.4,"134,610","1,809/sqmi",14.6,100.5,Texas,32.5,42.1,"https://wikipedia.org/wiki/Midland,_Texas"
89.0sqmi,57,Waco,243500.0,31.5601,-97.1860,77.9,55.7,"134,432","1,510/sqmi",34.69,91.5,Texas,17.4,38.9,"https://wikipedia.org/wiki/Waco,_Texas"
109.0sqmi,36.1,Charleston,275900.0,32.8179,-79.9590,65.7,45.7,"134,385","1,233/sqmi",44.03,87.5,South Carolina,--,25.9,"https://wikipedia.org/wiki/Charleston,_South_Carolina"
133.5sqmi,46.5,Columbia,301400.0,34.0291,-80.8980,70.5,46.0,"134,309","1,006/sqmi",54.28,93.1,South Carolina,31,40.7,"https://wikipedia.org/wiki/Columbia,_South_Carolina"
93.4sqmi,55,Denton,216700.0,33.2166,-97.1414,76.1,52.3,"133,808","1,433/sqmi",38.36,98.5,Texas,37.9,55.4,"https://wikipedia.org/wiki/Denton,_Texas"
36.3sqmi,36.1,Carrollton,248100.0,32.9884,-96.8998,71.0,48.3,"133,351","3,674/sqmi",51.39,98.1,Texas,--,25.9,"https://wikipedia.org/wiki/Carrollton,_Texas"
107.9sqmi,53.1,Surprise,219200.0,33.6706,-112.4527,77.7,55.5,"132,677","1,230/sqmi",54.31,87.7,Arizona,35.1,48.8,"https://wikipedia.org/wiki/Surprise,_Arizona"
43.0sqmi,39.5,Roseville,413600.0,38.7690,-121.3189,73.2,49.7,"132,671","3,085/sqmi",48.91,93.0,California,--,26.8,"https://wikipedia.org/wiki/Roseville,_California"
36.5sqmi,42.9,Sterling Heights,321000.0,42.5812,-83.0303,65.6,36.6,"132,427","3,628/sqmi",15.89,81.9,Michigan,--,37.4,"https://wikipedia.org/wiki/Sterling_Heights,_Michigan"
55.9sqmi,39.6,Murfreesboro,214400.0,35.8522,-86.4160,70.3,44.8,"131,947","2,360/sqmi",54.36,93.9,Tennessee,--,29.1,"https://wikipedia.org/wiki/Murfreesboro,_Tennessee"
